GB.MES2;GB.MES1;GB.AC;GB.OPC;GB.NPC1;GB.NPC2;GB.G1.S;GB.G2.M;Astrocyte;Neurons_inhib;Neurons_excit;Oligodendrocyte;OPC;Endothelial;Perivascular_fibroblast;Pericyte;SMC;T_cell;MG;BDM
;;;;;;;;SOX6;;;QKI;KAT2B;CRIM1;;GRAMD2B;;BCL2;;
;;;;;;;;ABLIM1;;;GPM6B;CHST9;JCAD;;CDK14;;STIM1;;
;;;;;;;;ACOT11;;;FMNL2;STK32B;RAPGEF4;;DCN;;TRAF3IP3;;
;;;;;;;;DDAH1;;;DPYSL5;GRIA3;KIAA1549;;AL138828.1;;KLRC4-KLRK1;;
;;;;;;;;KCNMA1;;;SH3TC2;SLC44A5;RAPGEF2;;RGL3;;Sep6;;
;;;;;;;;DPYSL3;;;LINC01630;RIMS2;TGM2;;DENND2A;;ADGRE5;;
;;;;;;;;MAPK10;;;ZEB2;ERC2;PTPN14;;BTBD9;;RASA2;;
;;;;;;;;ST8SIA1;;;ZNF365;GSG1L;MYO10;;COL4A2;;TMC8;;
;;;;;;;;ZNF98;;;AC090502.1;TMEM108;PAM;;LPL;;ZFP36L2;;
;;;;;;;;AC027117.2;;;LAMP2;TMEM132C;ARHGAP31;;KLHL29;;ATM;;
;;;;;;;;ALDH1L1;;;LANCL1;MEG8;HERPUD1;;KIAA1109;;CD6;;
;;;;;;;;PRDM16;;;COL4A5;TMEM132B;CD34;;ADARB2;;CRYBG1;;
;;;;;;;;TPST1;;;GNAO1;NOL4;SHANK3;;NDUFA4L2;;SLC16A7;;
;;;;;;;;BRINP1;;;Sep7;FERMT1;;;AXL;;CYFIP2;;
;;;;;;;;ZHX3;;;ANKS1B;RIT2;;;TBX15;;KLRF1;;
;;;;;;;;COL21A1;;;MVB12B;DGKI;;;PTN;;ERN1;;
;;;;;;;;PITPNC1;;;FGFR2;STXBP5L;;;EPB41L3;;ARHGAP25;;
;;;;;;;;DGKG;;;PPP2R2B;SCN9A;;;LINC02172;;IFI16;;
;;;;;;;;CADM1;;;PDE1C;AC092691.1;;;PIK3CD;;CXCR4;;
;;;;;;;;C1orf21;;;CLASP2;ASTN1;;;RBMS1;;PCNX1;;
;;;;;;;;ACSBG1;;;LPGAT1;RAB31;;;CERS6;;LCP2;;
;;;;;;;;STK33;;;MAGI2;COL9A1;;;C1QTNF1;;TMEM181;;
;;;;;;;;CAMK2G;;;NALCN;CDH18;;;;;GLCCI1;;
;;;;;;;;SLC38A1;;;CCDC88A;C1orf21;;;;;IPCEF1;;
;;;;;;;;IQCA1;;;ARFGEF3;CNTN1;;;;;INPP4A;;
;;;;;;;;RFX2;;;DLG1;TNK2;;;;;LITAF;;
;;;;;;;;ERBB4;;;KLHL4;SGCD;;;;;ZC3HAV1;;
;;;;;;;;SLC7A11;;;RNF144A;MYT1L;;;;;PTGDR;;
;;;;;;;;MMD2;;;ARHGAP21;LRFN5;;;;;RASSF3;;
;;;;;;;;GNA14;;;APLP1;TOX;;;;;RNF213;;
;;;;;;;;AGBL4;;;SCD;ANKS1B;;;;;PCNX2;;
;;;;;;;;SERPINE2;;;BIN1;RIMS1;;;;;KCNAB2;;
;;;;;;;;GJA1;;;CCP110;ZDHHC14;;;;;FGD3;;
;;;;;;;;DNAH7;;;GLDN;MACROD2;;;;;HLA-B;;
;;;;;;;;LMO3;;;GNAI1;AL392023.2;;;;;;;
;;;;;;;;HIF3A;;;CNP;SCD5;;;;;;;
;;;;;;;;SAMD4A;;;MEGF10;SEMA3E;;;;;;;
;;;;;;;;ALDH1A1;;;AL354809.1;ESRRG;;;;;;;
;;;;;;;;NHSL1;;;LRRC7;ITGA8;;;;;;;
;;;;;;;;LMNTD1;;;SHROOM4;AL589740.1;;;;;;;
;;;;;;;;MSI2;;;ATG4C;LSAMP;;;;;;;
;;;;;;;;MRVI1;;;SEMA4D;KCNMA1;;;;;;;
;;;;;;;;C1orf61;;;CLDND1;ADGRB3;;;;;;;
;;;;;;;;MEIS2;;;RETREG1;TMEM163;;;;;;;
;;;;;;;;SLC1A3;;;ERBIN;RBFOX1;;;;;;;
;;;;;;;;ASTN1;;;FUT8;ERBB4;;;;;;;
;;;;;;;;ASTN2;;;ZDHHC20;CSRNP3;;;;;;;
;;;;;;;;TMEM178B;;;AGTPBP1;UNC79;;;;;;;
;;;;;;;;GLI3;;;FRYL;GLCCI1;;;;;;;
;;;;;;;;ITGB4;;;DIP2C;ATP13A4;;;;;;;
;;;;;;;;RORB;;;GRID1;SLC2A13;;;;;;;
;;;;;;;;ACSS1;;;VRK2;TENM1;;;;;;;
;;;;;;;;PPP2R2B;;;SIK3;KCTD16;;;;;;;
;;;;;;;;EPHB1;;;AC016597.1;MYO16;;;;;;;
;;;;;;;;CHL1;;;LINC00609;CACNG4;;;;;;;
;;;;;;;;ANGPT1;;;GAB1;SNAP91;;;;;;;
;;;;;;;;AHCYL2;;;CARNS1;PRKG2;;;;;;;
;;;;;;;;VCAN;;;NFASC;IL1RAP;;;;;;;
;;;;;;;;RPS6KA2;;;DPYD;DNER;;;;;;;
;;;;;;;;MAP3K5;;;P2RX7;THRB;;;;;;;
;;;;;;;;SLC16A9;;;MAPT;GRIN2B;;;;;;;
;;;;;;;;LINC00836;;;ABCA8;PID1;;;;;;;
;;;;;;;;AF279873.3;;;NECAB1;KIF13A;;;;;;;
;;;;;;;;GABRA2;;;SYNDIG1;BCAS1;;;;;;;
;;;;;;;;Mar3;;;MAP4K5;U91319.1;;;;;;;
;;;;;;;;SERPINI2;;;CDH19;ZNF804A;;;;;;;
;;;;;;;;;;;AC012593.1;;;;;;;;
;;;;;;;;;;;ASPA;;;;;;;;
;;;;;;;;;;;ATP1B1;;;;;;;;
;;;;;;;;;;;RTN4;;;;;;;;
;;;;;;;;;;;AC106869.1;;;;;;;;
;;;;;;;;;;;PSEN1;;;;;;;;
;;;;;;;;;;;C12orf76;;;;;;;;
;;;;;;;;;;;FAM95C;;;;;;;;
;;;;;;;;;;;FAM124A;;;;;;;;
;;;;;;;;;;;SCD5;;;;;;;;
;;;;;;;;;;;ROBO1;;;;;;;;
;;;;;;;;;;;MAP4K4;;;;;;;;
;;;;;;;;;;;NEO1;;;;;;;;
;;;;;;;;;;;GRIA4;;;;;;;;
;;;;;;;;;;;AC096564.1;;;;;;;;
;;;;;;;;;;;PLD5;;;;;;;;
;;;;;;;;;;;IGSF11;;;;;;;;
;;;;;;;;;;;ANK2;;;;;;;;
;;;;;;;;;;;PLA2G16;;;;;;;;
;;;;;;;;;;;RAB40B;;;;;;;;
;;;;;;;;;;;LIPA;;;;;;;;
;;;;;;;;;;;YPEL2;;;;;;;;
;;;;;;;;;;;MAL;;;;;;;;
;;;;;;;;;;;GPR37;;;;;;;;
;;;;;;;;;;;NINJ2;;;;;;;;
;;;;;;;;;;;CLMN;;;;;;;;
;;;;;;;;;;;OSBP2;;;;;;;;
;;;;;;;;;;;GAB2;;;;;;;;
;;;;;;;;;;;ZDHHC11B;;;;;;;;
;;;;;;;;;;;LGR5;;;;;;;;
;;;;;;;;;;;LURAP1L-AS1;;;;;;;;
;;;;;;;;;;;C1QTNF3-AMACR;;;;;;;;
;;;;;;;;;;;MYO1D;;;;;;;;
;;;;;;;;;;;MIR181A1HG;;;;;;;;
;;;;;;;;;;;DOCK3;;;;;;;;
;;;;;;;;;;;GPRC5B;;;;;;;;
;;;;;;;;;;;PLPPR1;;;;;;;;
;;;;;;;;;;;KIF13B;;;;;;;;
;;;;;;;;;;;REPS2;;;;;;;;
;;;;;;;;;;;SLC22A15;;;;;;;;
;;;;;;;;;;;TPPP;;;;;;;;
